DepMap ID,pamidronate (BRD:BRD-K58513245-304-02-7) log2 fold change Drug sensitivity (PRISM Repurposing Primary Screen) 19Q4,filter,Cell Line Name,Primary Disease,Lineage
ACH-000863,-0.454336272025,glioblastoma,DBTRG05MG,Brain Cancer,Central Nervous System
ACH-000819,-0.392444580955,glioblastoma,LN18,Brain Cancer,Central Nervous System
ACH-000756,-0.06836098934109999,glioblastoma,GI1,Brain Cancer,Central Nervous System
ACH-000738,-0.449294097122,glioblastoma,GB1,Brain Cancer,Central Nervous System
ACH-000623,0.19090656901500005,glioblastoma,SNU201,Brain Cancer,Central Nervous System
ACH-000622,-0.445683941809,glioblastoma,KNS42,Brain Cancer,Central Nervous System
ACH-000595,-0.291793814609,glioblastoma,LN229,Brain Cancer,Central Nervous System
ACH-000571,0.114994312022,glioblastoma,T98G,Brain Cancer,Central Nervous System
ACH-000570,0.373904293841,glioblastoma,YKG1,Brain Cancer,Central Nervous System
ACH-000558,0.277500262336,glioblastoma,A172,Brain Cancer,Central Nervous System
ACH-000543,-0.499034081075,glioblastoma,SNU489,Brain Cancer,Central Nervous System
ACH-000479,-0.647869408979,glioblastoma,KNS81,Brain Cancer,Central Nervous System
ACH-000469,-1.04940350425,glioblastoma,YH13,Brain Cancer,Central Nervous System
ACH-000464,-0.0659611580199,glioblastoma,CAS1,Brain Cancer,Central Nervous System
ACH-000445,0.039686567300900005,glioblastoma,KNS60,Brain Cancer,Central Nervous System
ACH-000376,0.5076903499700001,glioblastoma,SF295,Brain Cancer,Central Nervous System
ACH-000368,-0.221772295427,glioblastoma,SNU1105,Brain Cancer,Central Nervous System
ACH-000289,-0.246912719432,glioblastoma,SNU466,Brain Cancer,Central Nervous System
ACH-000269,-1.24122746362,glioblastoma,AM38,Brain Cancer,Central Nervous System
ACH-000244,-0.131672269896,glioblastoma,DKMG,Brain Cancer,Central Nervous System
ACH-000231,0.121716949946,glioblastoma,KALS1,Brain Cancer,Central Nervous System
ACH-000200,-0.506537184518,glioblastoma,NMCG1,Brain Cancer,Central Nervous System
ACH-000102,-0.12784625938799998,glioblastoma,GMS10,Brain Cancer,Central Nervous System
ACH-000098,-0.210644287266,glioblastoma,GAMG,Brain Cancer,Central Nervous System
ACH-000027,-0.307555042515,glioblastoma,GOS3,Brain Cancer,Central Nervous System
